录音,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,结果来源,error_code,ISR_Result,Confidence_score,Result,vadSpeechStart,vadSpeechEnd,endVadType
/mnt/sdcard/pcm/400/shiqu/LSA/C3/hight_c3_1s_5s/hight_c3_1s_5s_7_encode.pcm,1482406845687,1549,0,1482406848565,MSG_Result,1805,本地,0,"我想去胡家庙",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""胡家庙"",""poi"":""胡家庙"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我想去胡家庙"",""version"":""3.5.0.1190""}
",1030,2530,vad_label
/mnt/sdcard/pcm/400/jiaoqu/C3/LSA/low_c3_2.5s_3.5s/low_c3_2.5s_3.5s_167_encode.pcm,1482406851809,1742,0,1482406856051,MSG_Result,2046,本地,0,"我要到长江路与天山路交叉口",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""长江路与天山路交叉口"",""street"":""长江路"",""streets"":""天山路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要到长江路与天山路交叉口"",""version"":""3.5.0.1190""}
",2580,5100,vad_label
/mnt/sdcard/pcm/400/jiaoqu/C4/LSA/low_c4_2.5s_3.5s/low_c4_2.5s_3.5s_164_encode.pcm,1482406859331,1362,0,1482406864702,MSG_Result,1868,本地,0,"我要去白米巷胡同合肥剪子巷交叉路口",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6706,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""白米巷胡同合肥剪子巷交叉路口"",""street"":""白米巷胡同"",""streets"":""合肥剪子巷"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去白米巷胡同合肥剪子巷交叉路口"",""version"":""3.5.0.1190""}
",2600,6480,vad_label
/mnt/sdcard/pcm/400/shiqu/LSA/C4/hight_c4_1s_5s/hight_c4_1s_5s_27_encode.pcm,1482406866384,1018,0,1482406870803,MSG_Result,1278,本地,0,"导航到振兴路与霞新路交叉口",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8769,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""振兴路与霞新路交叉口"",""street"":""振兴路"",""streets"":""霞新路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""导航到振兴路与霞新路交叉口"",""version"":""3.5.0.1190""}
",1040,4540,vad_label
/mnt/sdcard/pcm/400/shiqu/LSA/C4/hight_c4_1s_5s/hight_c4_1s_5s_1_encode.pcm,1482406872498,1024,0,1482406875530,MSG_Result,1175,本地,0,"我要到江苏东台市政府",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""江苏东台市政府"",""poi"":""东台市政府"",""province"":""江苏省"",""provinceAddr"":""江苏"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要到江苏东台市政府"",""version"":""3.5.0.1190""}
",1050,3320,vad_label
/mnt/sdcard/pcm/400/jiaoqu/C4/LSA/low_c4_2s_4s/low_c4_2s_4s_321_encode.pcm,1482406878334,1259,0,1482406880732,MSG_Result,1368,本地,0,"我想去杭州日报社",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.7,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""杭州市"",""cityAddr"":""杭州"",""ori_loc"":""杭州日报社"",""poi"":""日报社"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我想去杭州日报社"",""version"":""3.5.0.1190""}
",2120,3720,vad_label
/mnt/sdcard/pcm/400/shiqu/LSA/C4/hight_c4_2s_4s/hight_c4_2s_4s_188_encode.pcm,1482406883467,1113,0,1482406886930,MSG_Result,1316,本地,0,"我要到京港澳高速岳阳东收费站",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6143,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""岳阳市"",""cityAddr"":""岳阳"",""ori_loc"":""京港澳高速岳阳东"",""poi"":""岳阳东"",""street"":""京港澳高速"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要到京港澳高速岳阳东收费站"",""version"":""3.5.0.1190""}
",2070,4690,vad_label
/mnt/sdcard/pcm/400/jiaoqu/C4/LSA/hight_c4_0.5s_5.5s/hight_c4_0.5s_5.5s_30_encode.pcm,1482406888216,1273,0,1482406892285,MSG_Result,1531,本地,0,"我要去遇到街与大宝路交叉口",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.7538,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""遇到街与大宝路交叉口"",""street"":""遇到街"",""streets"":""大宝路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去遇到街与大宝路交叉口"",""version"":""3.5.0.1190""}
",540,3620,vad_label
/mnt/sdcard/pcm/400/jiaoqu/C4/LSA/hight_c4_2.5s_3.5s/hight_c4_2.5s_3.5s_213_encode.pcm,1482406895529,1177,0,1482406899740,MSG_Result,1388,本地,0,"我要去安定路和安定门外大街交口",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""安定路和安定门外大街交口"",""street"":""安定路"",""streets"":""安定门外大街"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去安定路和安定门外大街交口"",""version"":""3.5.0.1190""}
",2540,5940,vad_label
/mnt/sdcard/pcm/400/jiaoqu/C3/LSA/hight_c3_1s_5s/hight_c3_1s_5s_117_encode.pcm,1482406901434,1274,0,1482406904304,MSG_Result,1424,本地,0,"我要去电子商贸城",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.5,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""电子商贸城"",""poi"":""电子商贸城"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去电子商贸城"",""version"":""3.5.0.1190""}
",1000,2900,vad_label
