pcm,time_Base,AudioTimeLength,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,ISR_Mode, other, Result_content,rc,Confidence_score,Result
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_007_M098_coder.wav.pcm,4202764033,3488,4202764945,3740,4202767538,4202769614,MSG_Result,2076,1,0,从庐阳区寿春路桥到泾阳。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""area"":""泾阳县"",""areaAddr"":""泾阳"",""ori_loc"":""泾阳"",""type"":""LOC_BASIC""},""startLoc"":{""area"":""庐阳区"",""areaAddr"":""庐阳"",""city"":""CURRENT_CITY"",""ori_loc"":""庐阳区寿春路桥"",""poi"":""寿春路桥"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从庐阳区寿春路桥到泾阳。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_014_M099_coder.wav.pcm,4202769998,2528,4202770912,2692,4202772543,4202774818,MSG_Result,2275,1,0,我这里到中南路。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""中南路"",""street"":""中南路"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我这里到中南路。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_021_M101_coder.wav.pcm,4202775043,2272,4202775961,2341,4202777336,4202778550,MSG_Result,1214,1,0,从我这里怎么去龙泉路。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""龙泉路"",""street"":""龙泉路"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从我这里怎么去龙泉路。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_028_M102_coder.wav.pcm,4202779226,4480,4202780143,4613,4202783739,4202785072,MSG_Result,1333,1,0,从这里到三和汽车修理有限公司如何去。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.5294,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""三和汽车修理有限公司"",""poi"":""三和汽车修理有限公司"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里到三和汽车修理有限公司如何去。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_035_M071_coder.wav.pcm,4202785379,5088,4202786292,5194,4202790483,4202791275,MSG_Result,792,1,0,从这里到徽商银行三里庵支行atm怎么去。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.4947,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""徽商银行三里庵支行atm"",""poi"":""徽商银行三里庵支行atm"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里到徽商银行三里庵支行atm怎么去。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_042_M073_coder.wav.pcm,4202791857,4048,4202792805,4128,4202795925,4202796874,MSG_Result,949,1,0,从这里去九龙路和翠微路交叉路口如何去。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.9111,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""九龙路和翠微路交叉路口"",""street"":""九龙路"",""streets"":""翠微路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里去九龙路和翠微路交叉路口如何去。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_049_M074_coder.wav.pcm,4202797424,3808,4202798369,3938,4202801256,4202802518,MSG_Result,1262,1,0,从这里去福州市军川大道怎么去。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8857,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""福州市"",""cityAddr"":""福州"",""ori_loc"":""福州市军川大道"",""street"":""军川大道"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里去福州市军川大道怎么去。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_056_M048_coder.wav.pcm,4202802784,2512,4202803733,2619,4202805310,4202806603,MSG_Result,1293,1,0,从这里如何到坝上街。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""坝上街"",""street"":""坝上街"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里如何到坝上街。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_063_M049_coder.wav.pcm,4202807159,5712,4202808103,5810,4202812887,4202813879,MSG_Result,992,1,0,从这里导航到四川省攀枝花市米易县义县服务区。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8095,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""area"":""米易县"",""areaAddr"":""米易"",""city"":""攀枝花市"",""cityAddr"":""攀枝花"",""ori_loc"":""四川省攀枝花市米易县义县服务区"",""poi"":""义县服务区"",""province"":""四川省"",""provinceAddr"":""四川"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里导航到四川省攀枝花市米易县义县服务区。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_070_M050_coder.wav.pcm,4202814106,2464,4202815054,2701,4202816689,4202818463,MSG_Result,1774,1,0,从这里怎么去和省道上。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.84,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""和省道"",""street"":""和省道"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里怎么去和省道上。"",""version"":""3.5.0.1190""}
"
